"name","symbol","price","market cap"
"Bitcoin","BTC","10973.85","195238649412"
"Ethereum","ETH","294.3","31406746342"
"XRP","XRP","0.406175","17289489501"
"Litecoin","LTC","122.27","7638310562"
"Bitcoin Cash","BCH","410.01","7325873132"
"EOS","EOS","5.84","5381801168"
"Binance Coin","BNB","33.44","4720602286"
"Tether","USDT","0.99515","3582914986"
"Bitcoin SV","BSV","195.12","3483918155"
"Cardano","ADA","0.083931","2176078087"
"TRON","TRX","0.032489","2166425022"
"Stellar","XLM","0.106992","2077769026"
"UNUS SED LEO","LEO","1.77","1767037848"
"Monero","XMR","92.18","1573588239"
"Dash","DASH","157.62","1401765291"
"Chainlink","LINK","3.44","1202455501"
"NEO","NEO","16.66","1175158345"
"IOTA","MIOTA","0.402456","1118638270"
"Cosmos","ATOM","5.6","1067003824"
"Ethereum Classic","ETC","7.87","878529614"
"NEM","XEM","0.092304","830737085"
"Ontology","ONT","1.45","717523928"
"Zcash","ZEC","104.12","715679546"
"Maker","MKR","643.82","643822944"
"Tezos","XTZ","0.921471","608760417"
"Qtum","QTUM","4.84","463648973"
"Bitcoin Gold","BTG","26.35","461432324"
"VeChain","VET","0.008287","459551459"
"Crypto.com Chain","CRO","0.061089","454541635"
"Basic Attenti...","BAT","0.322953","410523433"
"Dogecoin","DOGE","0.003286","394903644"
"USD Coin","USDC","1.0","366559752"
"OmiseGO","OMG","2.46","345632429"
"BitTorrent","BTT","0.00147","311771989"
"Decred","DCR","30.61","306590321"
"V Systems","VSYS","0.171023","298644465"
"Holo","HOT","0.001917","255378438"
"Aurora","AOA","0.035147","229941690"
"Lisk","LSK","1.82","214957615"
"TrueUSD","TUSD","1.0","214907020"
"Ravencoin","RVN","0.054965","213200113"
"Bitcoin Diamond","BCD","1.14","212579625"
"Pundi X","NPXS","0.000887","210941185"
"Huobi Token","HT","4.1","204889695"
"Egretia","EGT","0.048416","203650299"
"HedgeTrade","HEDG","0.677984","195526453"
"Waves","WAVES","1.92","191824385"
"HyperCash","HC","4.38","190793955"
"0x","ZRX","0.311006","185909846"
"Qubitica","QBIT","62.22","174757107"
"Augur","REP","15.78","173569829"
"Nano","NANO","1.28","169898505"
"Bytecoin","BCN","0.000917","168811892"
"BitShares","BTS","0.060381","164897058"
"MonaCoin","MONA","2.5","164167418"
"Komodo","KMD","1.42","162878886"
"Bytom","BTM","0.158914","159310845"
"Paxos Standar...","PAX","1.0","155738282"
"IOST","IOST","0.012622","151635216"
"DigiByte","DGB","0.012607","150992321"
"Zilliqa","ZIL","0.017377","150963595"
"ICON","ICX","0.315654","149432627"
"KuCoin Shares","KCS","1.66","148563854"
"ThoreCoin","THR","1702.7","147599858"
"Energi","NRG","7.86","138915581"
"Mixin","XIN","305.36","138067206"
"Metaverse ETP","ETP","1.88","134832260"
"Siacoin","SC","0.003255","134415351"
"Aeternity","AE","0.474193","129029519"
"ABBC Coin","ABBC","0.25545","129022955"
"GXChain","GXC","2.13","127800294 "
"Verge","XVG","0.008049","127143945"
"Steem","STEEM","0.366284","117721519"
"Ardor","ARDR","0.114572","114457375"
"VestChain","VEST","0.015631","110644512"
"Dent","DENT","0.001466","106047966"
"THETA","THETA","0.119408","103944701"
"Insight Chain","INB","0.296731","103826922"
"Crypto.com","MCO","6.53","103071014"
"Enjin Coin","ENJ","0.132321","102109591"
"MaidSafeCoin","MAID","0.223167","100994765"
"aelf","ELF","0.20068","99543296"
"Status","SNT","0.027889","96789143"
"Lambda","LAMB","0.18963","94814993"
"Nash Exchange","NEX","2.58","93466211"
"EDUCare","EKT","0.131098","93211564"
"Zcoin","XZC","11.74","91884811"
"Golem","GNT","0.094482","91123176"
"Stratis","STRAT","0.896291","89081138"
"Quant","QNT","9.11","89068377"
"Dai","DAI","0.976771","87826960"
"SOLVE","SOLVE","0.253196","82823663"
"WAX","WAX","0.081469","76810562"
"Elastos","ELA","4.69","73244931"
"Maximine Coin","MXM","0.044199","72884002"
"Nebulas","NAS","1.46","70789942"
"Grin","GRIN","4.86","69817400"
"Project Pai","PAI","0.046479","67378779"
"NULS","NULS","0.903086","67026279"
"Santiment Net...","SAN","1.06","66271507"
"Clipper Coin","CCCX","0.017348","65497488"
"Horizen","ZEN","9.36","63515976"
"Nexo","NEXO","0.110594","61932411"
"Revain","R","0.126934","61493243"
"Waltonchain","WTC","1.46","60796002"
"Ren","REN","0.081163","60481292"
"ODEM","ODE","0.254486","58513562"
"NEXT","NET","1.16","58397371"
"Cryptonex","CNX","1.04","57755747"
"Ignis","IGNIS","0.07183","54672743"
"Ark","ARK","0.475514","53839662"
"ReddCoin","RDD","0.001862","53629959"
"Loom Network","LOOM","0.067493","53623106"
"Orbs","ORBS","0.032681","53437139"
"QASH","QASH","0.152331","53315880"
"Loopring","LRC","0.059117","52894206"
"Factom","FCT","5.46"," 52709206"
"DigixDAO","DGD","26.25","52508665"
"Fantom","FTM","0.028888","52393483"
"Celer Network","CELR","0.018175","51962373"
"Decentraland","MANA","0.049127","51590687"
"WaykiChain","WICC","0.265158","50114956"
"QuarkChain","QKC","0.02298","48573468"
"Matic Network","MATIC","0.022333","48520379"
"TrueChain","TRUE","0.603455","48020222"
"Harmony","ONE","0.020008","47797433"
"Buggyra Coin ...","BCZERO","0.023594","47443216"
"REPO","REPO","0.431192","47413269"
"Thunder Token","TT","0.016168","46917643"
"Fusion","FSN","1.4","46343525"
"LATOKEN","LA","0.121225","46078346"
"Electroneum","ETN","0.004704","45594660"
"Power Ledger","POWR","0.108842","44485213"
"XMax","XMX","0.002508","43952172"
"Kyber Network","KNC","0.261867","43624083"
"Bancor","BNT","0.709495","43509007"
"Beam","BEAM","1.75","43505926"
"Japan Content...","JCT","0.143802","42155707"
"Enigma","ENG","0.560264","41928033"
"Aion","AION","0.126007","41242579"
"Ether Zero","ETZ","0.244247","39860968"
"Bibox Token","BIX","0.362108","39625237"
"U Network","UUU","0.005842","39565239"
"Wanchain","WAN","0.370993"," 39381799"
"IPChain","IPC","0.503598","39142330"
"HYCON","HYC","0.01975","38008759"
"Ecoreal Estate","ECOREAL","0.181413","37965033"
"MOAC","MOAC","0.605468","37819579"
"Theta Fuel","TFUEL","0.009656","37063329"
"Polymath","POLY","0.085177","36566666"
"TomoChain","TOMO","0.606162","36565510"
"STASIS EURS","EURS","1.13","36170334"
"PIVX","PIVX","0.634931","36052122"
"Cortex","CTXC","0.240047","35957181"
"RIF Token","RIF","0.079619","35665996"
"Arcblock","ABT","0.358574","35339011"
"Populous","PPT","0.66061","35178955"
"Storj","STORJ","0.258679","35125408"
"CyberMiles","CMT","0.042161","33728824"
"Newton","NEW","0.002821","33700805"
"Digitex Futures","DGTX","0.044735","33659171"
"FunFair","FUN","0.005112","33479973"
"Gas","GAS","3.29","33349738"
"iExec RLC","RLC","0.405677","32482899"
"LINA","LINA","0.13701","32477628"
"Nxt","NXT","0.032017","31984976"
"CRYPTO20","C20","0.788724","31924007"
