"name","symbol","price","market cap"
"Bitcoin","BTC","10591.35","188436178425"
"Ethereum","ETH","287.57","30688895121"
"XRP","XRP","0.400773","17059541162"
"Litecoin","LTC","120.07","7500955540"
"Bitcoin Cash","BCH","401.46","7173303722"
"EOS","EOS","5.8","5341316350"
"Binance Coin","BNB","32.71","4618360025"
"Tether","USDT","0.993233","3576212063"
"Bitcoin SV","BSV","193.31","3451460289"
"Cardano","ADA","0.083612","2167803955"
"TRON","TRX","0.031893","2126678229"
"Stellar","XLM","0.1038","2015791950"
"UNUS SED LEO","LEO","1.75","1750182221"
"Monero","XMR","88.85","1516806407"
"Dash","DASH","153.27","1363152560"
"Chainlink","LINK","3.28","1146271232"
"NEO","NEO","16.13","1137883443"
"IOTA","MIOTA","0.395084","1098147412"
"Cosmos","ATOM","5.41","1032105401"
"Ethereum Classic","ETC","7.71","860592765"
"NEM","XEM","0.08907","801628384"
"Ontology","ONT","1.41","696217406"
"Zcash","ZEC","100.69","692198545"
"Maker","MKR","616.05","616052369"
"Tezos","XTZ","0.88941","587696661"
"Bitcoin Gold","BTG","25.75","450954312"
"Qtum","QTUM","4.62","442979315"
"VeChain","VET","0.00797","441972537"
"Crypto.com Chain","CRO","0.058942","438562921"
"Basic Attenti...","BAT","0.317119","403108182"
"Dogecoin","DOGE","0.003208","385512712"
"USD Coin","USDC","1.0","365868754"
"OmiseGO","OMG","2.35","329140150"
"BitTorrent","BTT","0.001399","296698220"
"Decred","DCR","29.58","296259562"
"V Systems","VSYS","0.165204","288498761"
"Holo","HOT","0.001793","238810977"
"Pundi X","NPXS","0.000906","215345313"
"TrueUSD","TUSD","0.999775","214327888"
"Bitcoin Diamond","BCD","1.11","207504618"
"Lisk","LSK","1.75","207135126"
"Ravencoin","RVN","0.053116","206077517"
"Huobi Token","HT","4.07","203263512"
"Egretia","EGT","0.048215","202804788"
"Aurora","AOA","0.030471","199353404"
"HedgeTrade","HEDG","0.661155","190673070"
"Waves","WAVES","1.85","185424488"
"HyperCash","HC","4.2","182671022"
"0x","ZRX","0.30277","180986381"
"Qubitica","QBIT","60.76","170660743"
"Augur","REP","15.48","170270225"
"Nano","NANO","1.25","167068257"
"Bytecoin","BCN","0.000898","165349476"
"Komodo","KMD","1.41","161486196"
"MonaCoin","MONA","2.45","161190656"
"BitShares","BTS","0.058281","159163437"
"Bytom","BTM","0.155823","156212637"
