"name","symbol","price","market cap"
"Bitcoin","BTC","10332.09","183827662002"
"Ethereum","ETH","285.75","30496047996"
"XRP","XRP","0.39663","16883181327"
"Litecoin","LTC","117.43","7336631336"
"Bitcoin Cash","BCH","399.77","7143192576"
"EOS","EOS","5.68","5233351816"
"Binance Coin","BNB","32.63","4606428425"
"Tether","USDT","0.995763","3585323491"
"Bitcoin SV","BSV","188.53","3366287184"
"Cardano","ADA","0.082417","2136822252"
"TRON","TRX","0.031752","2117257721"
"Stellar","XLM","0.103059","2001391258"
"UNUS SED LEO","LEO","1.76","1762102591"
"Monero","XMR","86.35","1474072420"
"Dash","DASH","150.64","1339803165"
"Chainlink","LINK","3.53","1234272083"
"NEO","NEO","16.15","1139503235"
"IOTA","MIOTA","0.395134","1098285668"
"Cosmos","ATOM","5.27","1005765668"
"Ethereum Classic","ETC","7.45","831893666"
"NEM","XEM","0.089156","802408441"
"Zcash","ZEC","101.37","697020789"
"Ontology","ONT","1.38","682472476"
"Maker","MKR","613.16","613155906"
"Tezos","XTZ","0.871944","576331896"
"Bitcoin Gold","BTG","25.31","443301957"
"Qtum","QTUM","4.62","442310159"
"VeChain","VET","0.007718","427999512"
"Basic Attenti...","BAT","0.335387","426329908"
"Crypto.com Chain","CRO","0.05609","417344521"
"Dogecoin","DOGE","0.003169","380777198"
"USD Coin","USDC","1.0","368174722"
"OmiseGO","OMG","2.36","331366219"
"BitTorrent","BTT","0.001421","301394279"
"Decred","DCR","28.61","286590868"
"V Systems","VSYS","0.163443","285447842"
"Holo","HOT","0.001859","247660398"
"TrueUSD","TUSD","1.0","214582479"
"Pundi X","NPXS","0.000895","212923148"
"Lisk","LSK","1.76","208410047"
"Ravencoin","RVN","0.053512","207687571"
"Huobi Token","HT","4.09","204553157"
"Bitcoin Diamond","BCD","1.09","203762380"
"Egretia","EGT","0.047139","198281245"
"Aurora","AOA","0.03017","197381451"
"HedgeTrade","HEDG","0.663563","191367464"
"Waves","WAVES","1.82","181657103"
"HyperCash","HC","4.17","181394320"
"0x","ZRX","0.297182","177646404"
"Nano","NANO","1.28","170955662"
"Qubitica","QBIT","60.37","169564014"
"Augur","REP","15.17","166847630"
"MonaCoin","MONA","2.42","158937638"
"BitShares","BTS","0.05694","155504282"
"Komodo","KMD","1.35","154891443"
"Bytom","BTM","0.154461","154846886"
"Bytecoin","BCN","0.000836","153855099"
"Paxos Standar...","PAX","1.0","148523097"
"IOST","IOST","0.012226","146880267"
"Zilliqa","ZIL","0.016794","145894849"
"KuCoin Shares","KCS","1.62","145251139"
"ICON","ICX","0.30413","143977343"
"DigiByte","DGB","0.011856","142013065"
"ThoreCoin","THR","1585.1","137405921"
"Siacoin","SC","0.003097","127925448"
"Mixin","XIN","282.79","127862312"
"Metaverse ETP","ETP","1.78","127801056"
"Energi","NRG","7.22","127625075"
"GXChain","GXC","2.06","123514429"
"Aeternity","AE","0.451689","122929537"
"Verge","XVG","0.007761","122611115"
"ABBC Coin","ABBC","0.235417","118904741"
"Steem","STEEM","0.34693","111510087"
"Ardor","ARDR","0.108069","107960564"
"Dent","DENT","0.001447","104709050"
"VestChain","VEST","0.014731","104270230"
"Insight Chain","INB","0.296668","103804930"
"Lambda","LAMB","0.198041","99020279"
"THETA","THETA","0.113038","98399547"
"aelf","ELF","0.198319","98372370"
"Enjin Coin","ENJ","0.127415","98323638"
"MaidSafeCoin","MAID","0.215836","97677150"
"Crypto.com","MCO","5.98","94501352"
"Status","SNT","0.026751","92840108"
"Nash Exchange","NEX","2.48","89889318"
"EDUCare","EKT","0.126067","89667956"
"Golem","GNT","0.092374","89090139"
"Dai","DAI","0.977744","88043846"
"Zcoin","XZC","11.03","86392397"
"Stratis","STRAT","0.855943","85071431"
"SOLVE","SOLVE","0.243358","79605476"
"Quant","QNT","8.07","78927970"
"WAX","WAX","0.080977","76347133 "
"Maximine Coin","MXM","0.045941","75756161"
"Nebulas","NAS","1.53","74216606"
"Elastos","ELA","4.51","70538660"
"Project Pai","PAI","0.045204","65532917"
"Revain","R","0.134003","64917685"
"Clipper Coin","CCCX","0.017064","64427731"
"NULS","NULS","0.865394","64232819"
"Santiment Net...","SAN","1.02","63857812"
"Grin","GRIN","4.38","63018636"
"Ren","REN","0.083601","62398367"
"Horizen","ZEN","8.8","59745615"
"NEXT","NET","1.19","59666076"
"ODEM","ODE","0.257237","59146230"
"Nexo","NEXO","0.105428","59039704"
"Waltonchain","WTC","1.38","57592583"
"Cryptonex","CNX","0.973832","54229112"
"ReddCoin","RDD","0.001828","52674955"
"QASH","QASH","0.148861","52101425"
"Ignis","IGNIS","0.068338","52015075"
"Ark","ARK","0.452885","51280542"
"Loom Network","LOOM","0.064341","51118331"
"Orbs","ORBS","0.031228","51060984"
"Factom","FCT","5.28","50965400"
"DigixDAO","DGD","25.17","50335546"
"WaykiChain","WICC","0.262463","49605518"
"Celer Network","CELR","0.017337","49567952"
"Decentraland","MANA","0.04713","49492961"
"Loopring","LRC","0.05457","48825491"
"Thunder Token","TT","0.01625","47155941"
"QuarkChain","QKC","0.02229","47114095"
"Matic Network","MATIC","0.021558","46836137"
"Fusion","FSN","1.4","46597764"
"Fantom","FTM","0.02549","46230856"
"TrueChain","TRUE","0.575668","45809130"
"Buggyra Coin ...","BCZERO","0.022711","45667593"
"REPO","REPO","0.412458","45353322"
"Harmony","ONE","0.018639","44527199"
"Power Ledger","POWR","0.104802","42833925"
"Electroneum","ETN","0.004394","42600018"
"Bancor","BNT","0.691675","42409111"
"Aion","AION","0.128517","42064050"
"Kyber Network","KNC","0.245628","41397709"
"Enigma","ENG","0.551387","41263727"
"LATOKEN","LA","0.108468","41229296"
"Beam","BEAM","1.64","40991476"
"Ether Zero","ETZ","0.245728","40104823"
"Japan Content...","JCT","0.13332","39082901"
"Wanchain","WAN","0.364995","38745081"
"IPChain","IPC","0.488272","37952593"
"Ecoreal Estate","ECOREAL","0.179985","37666050"
"U Network","UUU","0.005537","37495006"
"TomoChain","TOMO","0.600923","37152763"
"HYCON","HYC","0.019211","36972257"
"MOAC","MOAC","0.589266","36807534"
"STASIS EURS","EURS","1.14","36598943"
"Theta Fuel","TFUEL","0.00939","36042806"
"RIF Token","RIF","0.080372","36003584"
"Polymath","POLY","0.083069","35661394"
"Bibox Token","BIX","0.323273","35375578"
"PIVX","PIVX","0.610596","34670331"
"Populous","PPT","0.642724","34226486"
"Arcblock","ABT","0.343801","33883031"
"Storj","STORJ","0.248348","33722545"
"Cortex","CTXC","0.224355","33606696"
"IHT Real Esta...","IHT","0.049274","33349349"
"XMax","XMX","0.001873","32811465"
"Newton","NEW","0.002705","32322956"
"FunFair","FUN","0.004821","31575393"
"Gas","GAS","3.1","31377670"
"Bread","BRD","0.352944","31318132"
"Digitex Futures","DGTX","0.041506","31229762"
"CRYPTO20","C20","0.767483","31064292"
"CyberMiles","CMT","0.038647","30917571"
"Nxt","NXT","0.030342","30311901"
"LINA","LINA","0.12751","30225829"
"iExec RLC","RLC","0.374029","29948829"
"IoTeX","IOTX","0.008554","29940664"
"Synthetix Net...","SNX","0.260937","29502539"
"Metadium","META","0.023317","29040138"
"Groestlcoin","GRS","0.385181","28067405"
"Veritaseum","VERI","13.0","27953454"
"Hyperion","HYN","0.087111","27593703"
"INO COIN","INO","1.36","27220177"
"Tierion","TNT","0.063347","27142803"
"CasinoCoin","CSC","0.000697","27070855"
"Unobtanium","UNO","133.97","26875641"
"RChain","RHOC","0.070896","26500131"
"Skycoin","SKY","1.76","26379947"
"Centrality","CENNZ","0.031546","25497731"
"Vertcoin","VTC","0.506753","25416988"
"UGAS","UGAS","0.150134","25277666"
"Apollo Currency","APL","0.001719","25248783"
"Eidoo","EDO","0.847087","24786995"
"Syscoin","SYS","0.044107","24581179"
"Gnosis","GNO","22.25","24576731"
"BHPCoin","BHP","1.49","24537803"
"Metal","MTL","0.543588","24508101"
"TenX","PAY","0.212911","24355168"
"IoT Chain","ITC","0.309559","23865785"
"Civic","CVC","0.069243","23729712"
"Iconomi","ICN","0.234673","23216277"
"Crypterium","CRPT","0.275189","23107885"
"Cosmo Coin","COSM","0.034224","22956524"
"Ruff","RUFF","0.023311","22855958"
"Dragonchain","DRGN","0.095818","22844996"
"ContentBox","BOX","0.024615","22755128"
"BTU Protocol","BTU","0.324646","22728725"
"Obyte","GBYTE","32.26","22699062"
"Mithril","MITH","0.039168","22693257"
"Cred","LBA","0.041122","22313427"
"Einsteinium","EMC2","0.100994","22092011"
"Mainframe","MFT","0.00269","21999094"
"UTRUST","UTK","0.048718","21923083"
"DAPS Token","DAPS","0.000412","21682665 "
"NKN","NKN","0.061577","21551979"
"High Performa...","HPB","0.487668","21272070"
"PLATINCOIN","PLC","30.31","21220025"
"LTO Network","LTO","0.115631","21163519"
"Robotina","ROX","0.071144","21105065"
"botXcoin","BOTX","0.012017","20879078"
"Particl","PART","2.59","20870362"
"MediBloc [ERC20]","MEDX","0.006069","20503401"
"PressOne","PRS","0.071515","20363390"
"Achain","ACT","0.021658","19925567"
"BitKan","KAN","0.004828","19598126"
"ProximaX","XPX","0.003197","19490817"
"Dynamic Tradi...","DTR","0.015295","19433960"
"Nexus","NXS","0.305579","19403643"
"IRISnet","IRIS","0.059005","19238375"
"SaluS","SLS","18.96","19194614"
"AgaveCoin","AGVC","0.048907","19103902"
"Cindicator","CND","0.013132","18987920"
"Davinci Coin","DAC","0.005243","18884401"
