"name","symbol","price","market cap"
"Bitcoin","BTC","10943.38","194696283867"
"Ethereum","ETH","294.65","31444483144"
"XRP","XRP","0.406666","17310401720"
"Litecoin","LTC","121.8","7609013664"
"Bitcoin Cash","BCH","407.6","7282811247"
"EOS","EOS","5.84","5384501078"
"Binance Coin","BNB","33.41","4716282284"
"Tether","USDT","0.992671","3573989927"
"Bitcoin SV","BSV","196.94","3516325103"
"Cardano","ADA","0.083667","2169232067"
"TRON","TRX","0.032355","2157513651"
"Stellar","XLM","0.107113","2080124307"
"UNUS SED LEO","LEO","1.78","1775463036"
"Monero","XMR","91.77","1566530142"
"Dash","DASH","156.25","1389617471"
"NEO","NEO","16.62","1172590414"
"Chainlink","LINK","3.26","1140188874"
"IOTA","MIOTA","0.401438","1115810037"
"Cosmos","ATOM","5.56","1060829891"
"Ethereum Classic","ETC","7.81","871938964"
"NEM","XEM","0.09194","827460650"
"Ontology","ONT","1.45","717129970"
"Zcash","ZEC","103.97","714624429"
"Maker","MKR","643.0","642999348"
"Tezos","XTZ","0.932134","615789670"
"Bitcoin Gold","BTG","26.35","461466249"
"Qtum","QTUM","4.81","461205766"
"VeChain","VET","0.008271","458689060"
"Crypto.com Chain","CRO","0.061317","456235499"
"Basic Attenti...","BAT","0.321065","408124307"
"Dogecoin","DOGE","0.003252","390733747"
"USD Coin","USDC","1.0","365812113"
"OmiseGO","OMG","2.46","344932205"
"BitTorrent","BTT","0.001459","309425722"
"Decred","DCR","30.58","306309011"
"V Systems","VSYS","0.171449","299386310"
"Holo","HOT","0.001892","252003007"
"Aurora","AOA","0.035119","229761236"
"TrueUSD","TUSD","1.0","214462846"
"Lisk","LSK","1.81","214389410"
"Ravencoin","RVN","0.055034","213461945"
"Bitcoin Diamond","BCD","1.14","212224986"
"Pundi X","NPXS","0.000885","210356812"
"Huobi Token","HT","4.1","204825814"
"Egretia","EGT","0.048181","202664475"
"HedgeTrade","HEDG","0.674896","194635881"
"Waves","WAVES","1.92","192468575"
"HyperCash","HC","4.38","190756292"
"0x","ZRX","0.309114","184779017"
"Qubitica","QBIT","62.21","174716526"
"Augur","REP","15.79","173671935"
"Nano","NANO","1.27","168820026"
"Bytecoin","BCN","0.000915","168437103"
"BitShares","BTS","0.060677","165707084"
"MonaCoin","MONA","2.47","162306772"
"Komodo","KMD","1.4","160463157"
"Bytom","BTM","0.158257","158652262"
"Paxos Standar...","PAX","1.0","155531058"
"IOST","IOST","0.012595","151312701"
"Zilliqa","ZIL","0.017206","149470593"
"DigiByte","DGB","0.012404","148560204"
"ICON","ICX","0.312724","148045593"
"KuCoin Shares","KCS","1.64","147111651"
"ThoreCoin","THR","1694.7","146907045"
"Energi","NRG","7.95","140466633"
"Mixin","XIN","305.99","138350980"
"Metaverse ETP","ETP","1.88","134785862"
"Siacoin","SC","0.00319","131758461"
"ABBC Coin","ABBC","0.256276","129440264"
"Aeternity","AE","0.470548","128036526"
"GXChain","GXC","2.13","127888272"
"Verge","XVG","0.007881","124498936"
"Steem","STEEM","0.36396","116974182"
"Ardor","ARDR","0.112673","112560727"
"VestChain","VEST","0.015506","109757228"
"Dent","DENT","0.001461","105665573"
"THETA","THETA","0.119362","103904744"
"Insight Chain","INB","0.295998","103570400"
"Crypto.com","MCO","6.53","103146726"
"Enjin Coin","ENJ","0.133609","103103492"
"MaidSafeCoin","MAID","0.222644","100757947"
"aelf","ELF","0.201227","99814489"
"Status","SNT","0.027841","96620790"
"Lambda","LAMB","0.189691","94845648"
"Nash Exchange","NEX","2.61","94492899"
"EDUCare","EKT","0.130114","92510326"
"Zcoin","XZC","11.64","91116283"
"Golem","GNT","0.093999","90657487"
"Stratis","STRAT","0.891507","88605713"
"Dai","DAI","0.975361","87711669"
"Quant","QNT","8.94","87385071"
"SOLVE","SOLVE","0.254279","83177795"
"Elastos","ELA","5.14","80349855"
"WAX","WAX","0.081252","76606345"
"Maximine Coin","MXM","0.044184","72860046"
"Nebulas","NAS","1.46","70769693"
"Project Pai","PAI","0.046487","67390982"
"Santiment Net...","SAN","1.06","66223835"
"NULS","NULS","0.88401","65610516"
"Clipper Coin","CCCX","0.017337","65455408"
"Grin","GRIN","4.42","63434789"
"Horizen","ZEN","9.34","63388400"
"Nexo","NEXO","0.113013","63287491"
"Revain","R","0.127382","61710246"
"Ren","REN","0.082367","61378745"
"Waltonchain","WTC","1.46","60682145"
"ODEM","ODE","0.254348","58481823"
