"name","symbol","price","market cap"
"Bitcoin","BTC","10955.44","194910831632"
"Ethereum","ETH","293.79","31352243127"
"XRP","XRP","0.406074","17285173301"
"Litecoin","LTC","121.84","7611532940"
"Bitcoin Cash","BCH","406.29","7259528837"
"EOS","EOS","5.84","5377560373"
"Binance Coin","BNB","33.48","4726493242"
"Tether","USDT","0.994068","3579021622"
"Bitcoin SV","BSV","197.62","3528457497"
"Cardano","ADA","0.083685","2169704110"
"TRON","TRX","0.032333","2156053393"
"Stellar","XLM","0.107242","2082626582"
"UNUS SED LEO","LEO","1.78","1777315581"
"Monero","XMR","91.92","1569194929"
"Dash","DASH","156.98","1396046765"
"NEO","NEO","16.66","1175059084"
"Chainlink","LINK","3.31","1159315596"
"IOTA","MIOTA","0.401031","1114678415"
"Cosmos","ATOM","5.57","1061730456"
"Ethereum Classic","ETC","7.83","873695232"
"NEM","XEM","0.092367","831300836"
"Ontology","ONT","1.45","717125188"
"Zcash","ZEC","104.09","715430074"
"Maker","MKR","642.04","642043798"
"Tezos","XTZ","0.929901","614314922"
"Qtum","QTUM","4.82","462247636"
"Bitcoin Gold","BTG","26.26","459999117"
"VeChain","VET","0.008267","458423251"
"Crypto.com Chain","CRO","0.061593","458289426"
"Basic Attenti...","BAT","0.321697","408927714"
"Dogecoin","DOGE","0.003282","394330928"
"USD Coin","USDC","1.0","365703262"
"OmiseGO","OMG","2.46","345595810"
"BitTorrent","BTT","0.001465","310678664"
"Decred","DCR","30.58","306318763"
"V Systems","VSYS","0.171108","298790583"
"Holo","HOT","0.0019","253094256"
"Aurora","AOA","0.035","228982130"
"Lisk","LSK","1.82","214639116"
"TrueUSD","TUSD","1.0","214628161"
"Ravencoin","RVN","0.055024","213423889"
"Bitcoin Diamond","BCD","1.14","212391625"
"Huobi Token","HT","4.1","205156937"
"Egretia","EGT","0.0484","203583120"
"Pundi X","NPXS","0.000837","199014186"
"HedgeTrade","HEDG","0.676597","195126476"
"Waves","WAVES","1.93","192791956"
"HyperCash","HC","4.41","191864042"
"0x","ZRX","0.309445","184977065"
"Qubitica","QBIT","62.33","175054006"
"Augur","REP","15.83","174088832"
"Bytecoin","BCN","0.00092","169376455"
"Nano","NANO","1.27","168629801"
"MonaCoin","MONA","2.47","162555690"
