"name","symbol","price","market cap"
"PIVX","PIVX","0.635446","36081384"
"RIF Token","RIF","0.08052","36069616"
"Cortex","CTXC","0.239426","35864173"
"Arcblock","ABT","0.357014","35185281"
"Populous","PPT","0.65983","35137420"
"Storj","STORJ","0.258074","35043155"
"Digitex Futures","DGTX","0.044909","33790164"
"Newton","NEW","0.00281","33579660"
"CyberMiles","CMT","0.041915","33532174"
"FunFair","FUN","0.005115","33496588"
"Gas","GAS","3.29","33311531"
"LINA","LINA","0.137517","32597887"
"iExec RLC","RLC","0.406867","32578189"
"CRYPTO20","C20","0.791643","32042173"
"Nxt","NXT","0.03193","31897767"
"Bread","BRD","0.355192","31517605"
"Synthetix Net...","SNX","0.271604","30708266"
"Veritaseum","VERI","13.99","30077866"
"UGAS","UGAS","0.175377","29527754"
"IoTeX","IOTX","0.008362","29267480"
"Metadium","META","0.02331","29031444"
"Groestlcoin","GRS","0.396513","28892300"
"Skycoin","SKY","1.9"," 28451509"
"Hyperion","HYN","0.089813","28449593"
"CasinoCoin","CSC","0.000726","28157279"
"INO COIN","INO","1.4","28053176"
"Apollo Currency","APL","0.001884","27668089"
"Centrality","CENNZ","0.033778","27301390"
"Tierion","TNT","0.063127","27048662"
"Iconomi","ICN","0.264324","26149648"
"Vertcoin","VTC","0.519513","26054714"
"Eidoo","EDO","0.888975","26012696"
"BHPCoin","BHP","1.57","25861655"
"Ruff","RUFF","0.026327","25813754"
"Syscoin","SYS","0.046162","25725795"
"Gnosis","GNO","22.96","25361353"
"ContentBox","BOX","0.027325","25260764"
"TenX","PAY","0.220658","25241359"
"Metal","MTL","0.554616","25005322"
"Civic","CVC","0.072204","24744226"
"BTU Protocol","BTU","0.345979","24222257"
"Obyte","GBYTE","34.12","24003082"
"Dragonchain","DRGN","0.099203","23652211"
"Einsteinium","EMC2","0.107335","23478927"
"IoT Chain","ITC","0.303668","23411591"
"Cosmo Coin","COSM","0.034838","23368533"
"Mithril","MITH","0.040909","23292993"
"Particl","PART","2.78","22446491"
"Cred","LBA","0.041359","22441921"
"High Performa...","HPB","0.504063","21987194"
"IHT Real Esta...","IHT","0.03239","21922303"
"LTO Network","LTO","0.119612","21892108"
"RChain","RHOC","0.058417","21835539"
"Robotina","ROX","0.07325","21729939"
