"name","symbol","price","market cap"
"Bitcoin","BTC","10327.01","183735554067"
"Ethereum","ETH","283.94","30302294495"
"XRP","XRP","0.396757","16888600059"
"Litecoin","LTC","117.25","7325028326"
"Bitcoin Cash","BCH","396.02","7076201509"
"EOS","EOS","5.66","5211518404"
"Binance Coin","BNB","32.1","4532284084"
"Tether","USDT","0.995995","3586158116"
"Bitcoin SV","BSV","190.0","3392399779"
"Cardano","ADA","0.08193","2124194830"
"TRON","TRX","0.031439","2096394148"
"Stellar","XLM","0.102594","1992358138"
"UNUS SED LEO","LEO","1.76","1763887039"
"Monero","XMR","85.76","1463960812"
"Dash","DASH","149.93","1333420450"
"NEO","NEO","16.1","1135893552"
"Chainlink","LINK","3.08","1076740964"
"IOTA","MIOTA","0.387333","1076604109"
"Cosmos","ATOM","5.24","999759464"
"Ethereum Classic","ETC","7.36","821963715"
"NEM","XEM","0.088179","793611994"
"Zcash","ZEC","99.41","683472300"
"Ontology","ONT","1.37","676261987"
"Maker","MKR","611.23","611228174"
"Tezos","XTZ","0.881783","582752591"
"Bitcoin Gold","BTG","25.45","445741448"
"Qtum","QTUM","4.6","441074982"
"VeChain","VET","0.007843","434953412"
"Crypto.com Chain","CRO","0.057414","427200484"
"Basic Attenti...","BAT","0.319344","405935564"
"Dogecoin","DOGE","0.003117","374523045"
"USD Coin","USDC","1.0","368580237"
"OmiseGO","OMG","2.32","325644525"
"BitTorrent","BTT","0.001389","294548074"
"V Systems","VSYS","0.16415","286671211"
"Decred","DCR","28.56","286061301"
"Holo","HOT","0.001873","249455625"
"TrueUSD","TUSD","1.0","215105229"
"Pundi X","NPXS","0.000887","211060951"
"Lisk","LSK","1.77","209619376"
"Ravencoin","RVN","0.053279","206749253"
"Huobi Token","HT","4.09","204705839"
"Bitcoin Diamond","BCD","1.09","203124859"
"Egretia","EGT","0.047552","200016035"
"Aurora","AOA","0.03038","198756475"
"HedgeTrade","HEDG","0.661096","190655914"
"HyperCash","HC","4.21","183451143"
"Waves","WAVES","1.83","182752283"
"0x","ZRX","0.296547","177266922"
"Nano","NANO","1.31","173985830"
"Qubitica","QBIT","59.86","168128614"
"Augur","REP","15.27","167973205"
"BitShares","BTS","0.057591","157282242"
"MonaCoin","MONA","2.38","156309231"
"Bytecoin","BCN","0.000849","156203302"
"Bytom","BTM","0.154002","154386657"
"Komodo","KMD","1.33","152632994"
"Paxos Standar...","PAX","1.0","150603225"
"IOST","IOST","0.012227","146890381"
"Zilliqa","ZIL","0.016903","146838580"
"ICON","ICX","0.307325","145489504"
"KuCoin Shares","KCS","1.59","142741287"
"DigiByte","DGB","0.011673","139819507"
"ThoreCoin","THR","1578.64","136846033"
"Energi","NRG","7.33","129660912"
"Mixin","XIN","283.81","128321837"
"Metaverse ETP","ETP","1.77","126875559"
"Siacoin","SC","0.003054","126146196"
"Aeternity","AE","0.458062","124657726"
"GXChain","GXC","2.06","123715099"
"Verge","XVG","0.007624","120435617"
"ABBC Coin","ABBC","0.234614","118499178"
"Steem","STEEM","0.342847","110195313"
"Ardor","ARDR","0.107953","107844815"
"Dent","DENT","0.001449","104852221"
"Insight Chain","INB","0.297226","104000323"
"VestChain","VEST","0.014521","102782668"
"THETA","THETA","0.112983","98352203"
