"name","symbol","price","market cap"
"Bitcoin","BTC","10171.95","180979368299"
"Ethereum","ETH","280.15","29898268091"
"XRP","XRP","0.391029","16644785774"
"Litecoin","LTC","114.88","7176950843"
"Bitcoin Cash","BCH","392.95","7021434251"
"EOS","EOS","5.6","5163135361"
"Binance Coin","BNB","32.08","4529575757"
"Tether","USDT","0.987199","3554485506"
"Bitcoin SV","BSV","188.22","3360603293"
"Cardano","ADA","0.08121","2105525900"
"TRON","TRX","0.031368","2091663179"
"Stellar","XLM","0.102309","1986830432"
"UNUS SED LEO","LEO","1.75","1746410376"
"Monero","XMR","85.74","1463614446"
"Dash","DASH","148.81","1323487411"
"Chainlink","LINK","3.32","1162024654"
"NEO","NEO","15.95","1125357909"
"IOTA","MIOTA","0.391291","1087606373"
"Cosmos","ATOM","5.17","986143559"
"Ethereum Classic","ETC","7.38","823719942"
"NEM","XEM","0.088164","793475660"
"Zcash","ZEC","100.98","694385167"
"Ontology","ONT","1.36","672978964"
"Maker","MKR","605.29","605285701"
"Tezos","XTZ","0.863012","567728414"
"Bitcoin Gold","BTG","25.24","442114838"
"Qtum","QTUM","4.54","435148669"
"VeChain","VET","0.007642","423795992"
"Basic Attenti...","BAT","0.332166","422234602"
"Crypto.com Chain","CRO","0.05415","402909990"
"Dogecoin","DOGE","0.00315","378478654"
"USD Coin","USDC","0.995322","365571572"
"OmiseGO","OMG","2.31","324193576"
"BitTorrent","BTT","0.001393","295490624"
"V Systems","VSYS","0.163046","284759004"
"Decred","DCR","28.33","283789991"
"Holo","HOT","0.001789","238358925"
"TrueUSD","TUSD","0.995393","213399170"
"Lisk","LSK","1.73","204774648"
"Huobi Token","HT","4.05","202677815"
"Ravencoin","RVN","0.051975","201740089"
"Bitcoin Diamond","BCD","1.08","201491420"
"Pundi X","NPXS","0.000843","200570467"
"Egretia","EGT","0.0469","197275458"
"Aurora","AOA","0.029712","194384257"
"HedgeTrade","HEDG","0.666229","192136270"
"Waves","WAVES","1.8","180354914"
"HyperCash","HC","4.12","179309885"
"0x","ZRX","0.29339","175379517"
