"name","symbol","price","market cap"
"Bitcoin","BTC","10277.5","182853080092"
"Ethereum","ETH","282.48","30146018052"
"XRP","XRP","0.395151","16820222622"
"Litecoin","LTC","117.01","7309862461"
"Bitcoin Cash","BCH","393.7","7034620342"
"EOS","EOS","5.63","5188879273"
"Binance Coin","BNB","32.29","4558433922"
"Tether","USDT","0.992557","3573777283"
"Bitcoin SV","BSV","188.65","3368276378"
"Cardano","ADA","0.081413","2110791334"
"TRON","TRX","0.031312","2087982178"
"Stellar","XLM","0.102048","1981755396"
"UNUS SED LEO","LEO","1.75","1748190891"
"Monero","XMR","85.19","1454182618"
"Dash","DASH","148.88","1324121189"
"NEO","NEO","15.84","1117355722"
"IOTA","MIOTA","0.386114","1073215212"
"Chainlink","LINK","3.04","1064988924"
"Cosmos","ATOM","5.25","1000644870"
"Ethereum Classic","ETC","7.45","831782375"
"NEM","XEM","0.088228","794055716"
"Ontology","ONT","1.37","679944146"
"Zcash","ZEC","98.08","674300976"
"Maker","MKR","607.19","607188640"
"Tezos","XTZ","0.875098","578262974"
"Bitcoin Gold","BTG","25.47","446092544"
"Qtum","QTUM","4.58","438756008"
"VeChain","VET","0.007776","431230256"
"Crypto.com Chain","CRO","0.057043","424438083"
"Basic Attenti...","BAT","0.310716","394968261"
"Dogecoin","DOGE","0.003152","378770024"
"USD Coin","USDC","1.0","366240608"
"OmiseGO","OMG","2.31","323977835"
"BitTorrent","BTT","0.001374","291471736"
"V Systems","VSYS","0.16607","290013893"
"Decred","DCR","28.89","289349211"
"Holo","HOT","0.001722","229378598"
"TrueUSD","TUSD","1.0","215287779"
"Lisk","LSK","1.75","206690347"
"Ravencoin","RVN","0.052899","205242912"
"Bitcoin Diamond","BCD","1.09","202346121"
"Egretia","EGT","0.047864","201329362"
"Pundi X","NPXS","0.000844","200819502"
"Huobi Token","HT","4.02","200793611"
"Aurora","AOA","0.030229","197765115"
"HedgeTrade","HEDG","0.641747","185075843"
"Waves","WAVES","1.82","182299242"
"HyperCash","HC","4.13","179918254"
"0x","ZRX","0.298949","178702386"
"Augur","REP","15.22","167383790"
"Qubitica","QBIT","59.48","167071862"
"Bytecoin","BCN","0.000879","161721065"
"Nano","NANO","1.21","161450486"
"MonaCoin","MONA","2.42","159388629"
"BitShares","BTS","0.05833","159299309"
"Komodo","KMD","1.36","156655585"
"Bytom","BTM","0.151111","151488549"
"Paxos Standar...","PAX","1.0","150468384"
"ICON","ICX","0.307311","145483040"
"IOST","IOST","0.011965","143742331"
"Zilliqa","ZIL","0.016525","143558244"
"KuCoin Shares","KCS","1.59","142612587"
"DigiByte","DGB","0.011773","141009784"
"ThoreCoin","THR","1564.37","135608824"
"Energi","NRG","7.34","129831416"
"Mixin","XIN","280.74","126935805"
"Siacoin","SC","0.003033","125255762"
"Metaverse ETP","ETP","1.74","124449003"
"Aeternity","AE","0.452647","123177129"
"GXChain","GXC","2.02","120966939"
"Verge","XVG","0.00761","120225359"
"ABBC Coin","ABBC","0.233277","117823691"
"Steem","STEEM","0.34572","111116473"
"Dent","DENT","0.001506","108918383"
"Ardor","ARDR","0.108554","108445145"
"Insight Chain","INB","0.297196","103989541"
"VestChain","VEST","0.014483","102516363"
"THETA","THETA","0.112882","98264321"
"aelf","ELF","0.197087","97761296"
"MaidSafeCoin","MAID","0.213257","96510142"
"Enjin Coin","ENJ","0.123312","95157178"
"Crypto.com","MCO","5.97","94229757"
"Status","SNT","0.026977","93624449"
"Lambda","LAMB","0.184196","92097914"
"Nash Exchange","NEX","2.53","91561580"
"EDUCare","EKT","0.12486","88799805"
"Zcoin","XZC","11.16","87393457"
"Golem","GNT","0.089839","86644869"
"Dai","DAI","0.963309","86608444"
"Stratis","STRAT","0.861193","85593039"
"SOLVE","SOLVE","0.240852","78785810"
"Quant","QNT","7.91","77366841"
"Maximine Coin","MXM","0.046012","75873470"
"WAX","WAX","0.079115","74590991"
"Nebulas","NAS","1.48","71740372"
"Elastos","ELA","4.24","66292776"
"Project Pai","PAI","0.045147","65449396"
"Clipper Coin","CCCX","0.016928","63914559"
"Santiment Net...","SAN","1.02","63823634"
"Ren","REN","0.084272","62798327"
"NULS","NULS","0.841604","62465078"
"Revain","R","0.12761","61820639"
"Grin","GRIN","4.17","59901828"
"Horizen","ZEN","8.8","59776200"
"NEXT","NET","1.18","59464269"
"ODEM","ODE","0.251842","57905717"
"Waltonchain","WTC","1.39","57863768"
"Nexo","NEXO","0.102542","57423245"
"Cryptonex","CNX","0.964755","53723672"
"QASH","QASH","0.148534","51986777"
"Ignis","IGNIS","0.06805","51795471"
"Factom","FCT","5.36","51741367"
"Ark","ARK","0.451715","51146530"
"Orbs","ORBS","0.031098","50848338"
"Loom Network","LOOM","0.063639","50560647"
"ReddCoin","RDD","0.001747","50337012"
"DigixDAO","DGD","25.03","50057369"
"WaykiChain","WICC","0.261394","49403408"
"Decentraland","MANA","0.046667","49006643"
"Loopring","LRC","0.054295","48579404"
"Celer Network","CELR","0.01649","47144687"
"Fantom","FTM","0.025575","46384366"
"Thunder Token","TT","0.015627","45348780"
"Buggyra Coin ...","BCZERO","0.022455","45151033"
"REPO","REPO","0.409019","44975202"
"TrueChain","TRUE","0.562306","44745781"
"Matic Network","MATIC","0.020534","44611962"
"QuarkChain","QKC","0.021099","44596990"
"LATOKEN","LA","0.116374","44234114"
"Harmony","ONE","0.018356","43851279"
"Fusion","FSN","1.31","43608009"
"Electroneum","ETN","0.004428","42918701"
"Power Ledger","POWR","0.102657","41957060"
"Bancor","BNT","0.679403","41649881"
"Beam","BEAM","1.67","41605767"
"Kyber Network","KNC","0.24856","41407249"
"Ether Zero","ETZ","0.251799","41094496"
"Aion","AION","0.123328","40365921"
"Enigma","ENG","0.535296","40059492"
"Japan Content...","JCT","0.134057","39298937"
"XMax","XMX","0.002159","37827873"
"Ecoreal Estate","ECOREAL","0.179879","37643970"
"IPChain","IPC","0.482928","37536405"
"MOAC","MOAC","0.590368","36876323"
"IHT Real Esta...","IHT","0.053709","36351129"
"Wanchain","WAN","0.341446","36245307"
"U Network","UUU","0.005345","36198875"
"Bibox Token","BIX","0.32852","35949816"
"HYCON","HYC","0.018645","35883346"
"STASIS EURS","EURS","1.12","35828563"
"Theta Fuel","TFUEL","0.009325","35790532"
"TomoChain","TOMO","0.576433","35637691"
"RIF Token","RIF","0.079213","35484410"
"PIVX","PIVX","0.624711","35471809"
"Polymath","POLY","0.08151","34992430"
"Storj","STORJ","0.250801","34055690"
"Populous","PPT","0.624432","33252394"
"Arcblock","ABT","0.337085","33221179"
"Gas","GAS","3.17","32095689"
"Cortex","CTXC","0.21387","32036042"
"Newton","NEW","0.002679","32003719"
"Digitex Futures","DGTX","0.042139","31705656"
"FunFair","FUN","0.00479","31367532"
"CyberMiles","CMT","0.038273","30618770"
"LINA","LINA","0.128871","30548456"
"Nxt","NXT","0.030425","30394957"
"Bread","BRD","0.34219","30363869"
"iExec RLC","RLC","0.377646","30238430"
"CRYPTO20","C20","0.746427","30212027"
"Metadium","META","0.023483","29247053"
"IoTeX","IOTX","0.008328","29148549"
"Synthetix Net...","SNX","0.25779","29146425"
"Groestlcoin","GRS","0.382082"," 27841145"
"Veritaseum","VERI","12.89","27719632"
"CasinoCoin","CSC","0.000706","27403868"
"Hyperion","HYN","0.086167","27294842"
"Tierion","TNT","0.063456","27189598"
"INO COIN","INO","1.36","27119883"
"UGAS","UGAS","0.158277","26648757"
"Apollo Currency","APL","0.001796","26375866"
"Skycoin","SKY","1.74","26069594"
"Centrality","CENNZ","0.031279","25281878"
"Syscoin","SYS","0.044693","24907329"
"Eidoo","EDO","0.84943","24855568"
"Gnosis","GNO","22.29","24624214"
"BHPCoin","BHP","1.48","24425208"
"TenX","PAY","0.212459","24303450"
"Vertcoin","VTC","0.483029","24225886"
"Iconomi","ICN","0.242718","24012214"
"Metal","MTL","0.53094","23937858"
"Civic","CVC","0.068805","23579421"
"ContentBox","BOX","0.025126","23228249"
"Ruff","RUFF","0.023568","23108251"
"Obyte","GBYTE","32.27","22705040"
"BTU Protocol","BTU","0.323977","22681889"
"Mithril","MITH","0.038941","22561608"
"IoT Chain","ITC","0.292214","22528501"
"Einsteinium","EMC2","0.102105","22334948"
"Dragonchain","DRGN","0.093624","22322109"
"Cosmo Coin","COSM","0.033188","22261832"
"Crypterium","CRPT","0.258282","21688186"
"DAPS Token","DAPS","0.000412","21688024"
"High Performa...","HPB","0.487254","21254004"
"Cred","LBA","0.038981","21151671"
"Mainframe","MFT","0.002572","21032744"
"Robotina","ROX","0.070266","20844747"
"LTO Network","LTO","0.113623","20795916"
"Particl","PART","2.56","20675961"
"NKN","NKN","0.058947","20631546"
"UTRUST","UTK","0.045444","20449723"
"PressOne","PRS","0.071571","20379385"
"PLATINCOIN","PLC","29.07","20351289"
"RChain","RHOC","0.053876","20138198"
"botXcoin","BOTX","0.01153","20032926"
"AgaveCoin","AGVC","0.050313","19653304"
"Achain","ACT","0.021361","19652148"
"ProximaX","XPX","0.003189","19442718"
"BitKan","KAN","0.004751","19286943"
"Nexus","NXS","0.302537","19209780"
"SaluS","SLS","18.95","19182516"
"Cindicator","CND","0.013204","19092409"
"Davinci Coin","DAC","0.005202","18738584"
"IRISnet","IRIS","0.056557","18438680"
"MediBloc [ERC20]","MEDX","0.005447","18403058"
"Pirate Chain","ARRR","0.173938","18341115"
"Quantum Resis...","QRL","0.267416","18295704"
"TTC","TTC","0.090396","18247625"
"Aragon","ANT","0.590886","18144099"
"Telcoin","TEL","0.000485","18032669"
"Gifto","GTO","0.029656","17918637"
"Everipedia","IQ","0.003964","17861300"
"Ankr Network","ANKR","0.00768","17705627"
"Humanscape","HUM","0.000432","17673270"
"Bit-Z Token","BZ","0.162085","17591105"
"Contents Prot...","CPT","0.006761","17458364"
"SingularityNET","AGI","0.032237","17397379"
"BnkToTheFuture","BFT","0.023671","17279886"
"Time New Bank","TNB","0.006262","17239366"
"#MetaHash","MHC","0.01391"," 17228986"
"Wixlar","WIX","0.015669","17179295"
"Storm","STORM","0.002748","17129027"
"RealTract","RET","0.001518","16696219"
"Litex","LXT","0.020098","16480521"
"Burst","BURST","0.008013","16418251"
"PayPie","PPP","0.197536","16296688"
"Po.et","POE","0.005166","16230169"
"Moeda Loyalty...","MDA","0.823601","16166379"
"VeriBlock","VBK","0.033896","16131806"
"Neblio","NEBL","1.1","16099910"
"Raiden Networ...","RDN","0.318061","16091933"
"Cajutel","CAJ","11.73","15981186"
"Blox","CDT","0.023291","15711932"
"TOP","TOP","0.005851","15640638"
"Everex","EVX","0.688913","15569427"
"Function X","FX","0.334783","15208177"
"Nucleus Vision","NCASH","0.002594","15119209"
"VITE","VITE","0.035404","14698462"
"Moss Coin","MOC","0.051404","14511388"
"Dentacoin","DCN","4.5e-05","14478084"
"Data Transact...","XD","0.075205","14476627"
"Odyssey","OCN","0.00207","14412214"
"Request","REQ","0.019554","14272164"
"Gemini Dollar","GUSD","0.991152","14266305"
"Matrix AI Net...","MAN","0.094435","14165292"
"FOAM","FOAM","0.050492","14159584"
"ILCoin","ILC","0.047051","13988420"
"Streamr DATAcoin","DATA","0.020465","13858164"
"APIS","APIS","0.001542","13799933"
"MovieBloc","MBL","0.003985","13794769"
"Aergo","AERGO","0.13152","13669461"
"BOScoin","BOS","0.021138","13599143"
"Bitcoiin","B2G","0.260362","13542231"
"Lightning Bit...","LBTC","3.49","13481171"
"Kin","KIN","1.8e-05","13432127"
"OST","OST","0.020933","13351747"
"Genesis Vision","GVT","2.99","13254425"
"GoChain","GO","0.017661","13066982"
"Clams","CLAM","3.53","12927840"
"NIX","NIX","0.297179","12851565"
"Ripio Credit ...","RCN","0.025648","12839571"
"Endor Protocol","EDR","0.016816","12744004"
"Everus","EVR","0.028039","12648321"
"Bezant","BZNT","0.017648","12597851"
"Quantstamp","QSP","0.020376","12578461"
"NavCoin","NAV","0.192004","12574906"
"Bitcore","BTX","0.733487","12571411"
"Tael","WABI","0.219211","12503831"
"Seele","SEELE","0.018064","12479864"
"1irstcoin","FST","2.03","12446327"
"PlayChip","PLA","0.000868","12161936"
"MediShares","MDS","0.011623","12146570"
"Fetch","FET","0.148203","12084813"
"Credits","CS","0.07354","11903906"
"OneRoot Network","RNT","0.041279","11726353"
"OAX","OAX","0.173195","11713205"
"SmartCash","SMART","0.008251","11665232"
"V-ID","VIDT","0.437402","11620191"
"OVCODE","OVC","0.263996","11576094"
"DxChain Token","DX","0.000272","11482758"
"DATA","DTA","0.001285","11450836"
"IDEX","IDEX","0.050232","11340406"
"Namecoin","NMC","0.763233","11247310"
"Cube","AUTO","0.001654","11207936"
"Red Pulse Pho...","PHX","0.013494","11194846"
"Darico Ecosys...","DEC","0.216143","11140829"
"CWV Chain","CWV","0.003263","11099649"
"Metronome","MET","1.19","11090835"
"Noah Coin","NOAH","0.000337","11008196"
"Bluzelle","BLZ","0.052989","10998760"
"bitCNY","BITCNY","0.14228","10975746"
"Wagerr","WGR","0.059951","10966333"
"S4FE","S4F","0.044426","10943115"
"TokenClub","TCT","0.022572","10866733"
"ZrCoin","ZRC","2.37","10765778"
"Blackmoon","BMC","0.26631","10652394"
"SIRIN LABS Token","SRN","0.021657","10651274"
"Incent","INCNT","0.230685","10615339"
"Tripio","TRIO","0.002883","10568023"
"IntelliShare","INE","0.062759","10538978"
"Blocknet","BLOCK","1.78","10501199"
"Aeon","AEON","0.662741","10492162"
"Traceability ...","TAC","0.017006","10488011"
