"name","symbol","price","market cap"
"Bitcoin","BTC","10514.7","187077852300"
"Ethereum","ETH","289.09","30852315565"
"XRP","XRP","0.400323","17040367190"
"Litecoin","LTC","119.39","7458665503"
"Bitcoin Cash","BCH","407.98","7289891660"
"EOS","EOS","5.91","5444121469"
"Binance Coin","BNB","32.83","4635224508"
"Tether","USDT","0.996516","3588034583"
"Bitcoin SV","BSV","193.3","3451390611"
"Cardano","ADA","0.082993","2151776257"
"TRON","TRX","0.0322","2147171323"
"Stellar","XLM","0.104436","2028144157"
"UNUS SED LEO","LEO","1.77","1768078676"
"Monero","XMR","88.58","1512174779"
"Dash","DASH","153.55","1365640410"
"Chainlink","LINK","3.45","1206722577"
"NEO","NEO","16.5","1163812261"
"IOTA","MIOTA","0.401366","1115610264"
"Cosmos","ATOM","5.35","1019281457"
"Ethereum Classic","ETC","7.6","848877057"
"NEM","XEM","0.089956","809606094"
"Zcash","ZEC","102.5","704828511"
"Ontology","ONT","1.4","693926569"
"Maker","MKR","620.78","620783081"
"Tezos","XTZ","0.889315","585059899"
"Qtum","QTUM","4.74","453795615"
"Bitcoin Gold","BTG","25.69","449924934"
"VeChain","VET","0.007919","439167867"
"Basic Attenti...","BAT","0.34021","432460188"
"Crypto.com Chain","CRO","0.05762","428728989"
"Dogecoin","DOGE","0.00321","385665696"
"USD Coin","USDC","1.0","367526711"
"OmiseGO","OMG","2.39","335536835"
"BitTorrent","BTT","0.001431","303601365"
"V Systems","VSYS","0.166928","291544986"
"Decred","DCR","28.91","289577279"
"Holo","HOT","0.001847","246038212"
"Pundi X","NPXS","0.000911","216719998"
"TrueUSD","TUSD","1.0","214552432"
"Lisk","LSK","1.78","209809467 "
"Ravencoin","RVN","0.053653","208266160"
"Huobi Token","HT","4.11","205619878"
"Bitcoin Diamond","BCD","1.1","204934235"
"Egretia","EGT","0.048462","203846808"
"Aurora","AOA","0.030376","198730385"
"HedgeTrade","HEDG","0.688536","198569607"
"HyperCash","HC","4.31","187448374"
"Waves","WAVES","1.84","183972312"
"0x","ZRX","0.303064","181162402"
"Nano","NANO","1.3","172745994"
"Qubitica","QBIT","61.43","172531639"
"Augur","REP","15.28","168059215"
"Bytecoin","BCN","0.000874","160923044"
"Komodo","KMD","1.4","160281047"
"BitShares","BTS","0.058576","159973496"
"MonaCoin","MONA","2.39","156954996"
"Bytom","BTM","0.156292","156682578"
"IOST","IOST","0.012536","150607045"
"Paxos Standar...","PAX","1.0","148482936"
"Zilliqa","ZIL","0.017015","147816798"
"DigiByte","DGB","0.012252","146767486"
"KuCoin Shares","KCS","1.61","144367788"
"ICON","ICX","0.304285","144050462"
"ThoreCoin","THR","1628.18","141140451"
"Energi","NRG","7.31","129313225"
"Mixin","XIN","285.02","128870350"
"Siacoin","SC","0.003114","128637619"
"Metaverse ETP","ETP","1.78","127927435"
"Verge","XVG","0.007935","125358223"
"Aeternity","AE","0.458609","124818316"
"GXChain","GXC","2.06","123482493"
"ABBC Coin","ABBC","0.234377","118379370"
"Steem","STEEM","0.351528","112990040"
"Ardor","ARDR","0.1093","109190919"
"Dent","DENT","0.001477","106830169"
"VestChain","VEST","0.014897","105446983"
"Insight Chain","INB","0.296183","103635079"
"Lambda","LAMB","0.202639","101319428"
"THETA","THETA","0.116037","101010880"
"aelf","ELF","0.200379","99393790"
"MaidSafeCoin","MAID","0.218192","98743108"
"Enjin Coin","ENJ","0.126499","97616512"
"Crypto.com","MCO","6.05","95626900"
"Status","SNT","0.027091","94017198"
"EDUCare","EKT","0.127457","90656351"
"Nash Exchange","NEX","2.47","89356112"
