"name","symbol","price","market cap"
"Bitcoin","BTC","10410.34","185217448542"
"Ethereum","ETH","285.65","30484671070"
"XRP","XRP","0.395906","16852368838"
"Litecoin","LTC","118.27","7388384934"
"Bitcoin Cash","BCH","400.24","7151483809"
"EOS","EOS","5.69","5242561393"
"Binance Coin","BNB","32.12","4534794860"
"Tether","USDT","0.995465","3584251198"
"Bitcoin SV","BSV","191.66","3422033924"
"TRON","TRX","0.031969","2131738434"
"Cardano","ADA","0.082056","2127481694"
"Stellar","XLM","0.103026","2000761690"
"UNUS SED LEO","LEO","1.75","1752882625"
"Monero","XMR","86.29","1472979611"
"Dash","DASH","151.48","1347222138"
"Chainlink","LINK","3.26","1140004708"
"NEO","NEO","16.1","1135970587"
"IOTA","MIOTA","0.392035","1089672460"
"Cosmos","ATOM","5.26","1002991232"
"Ethereum Classic","ETC","7.51","838722859"
"NEM","XEM","0.0888","799204427"
"Zcash","ZEC","99.94","687094966"
"Ontology","ONT","1.38","681163164"
"Maker","MKR","613.08","613081610"
"Tezos","XTZ","0.889238","587654292"
"Qtum","QTUM","4.7","450458155"
"Bitcoin Gold","BTG","25.52","447003917"
"VeChain","VET","0.00787","436403867"
"Crypto.com Chain","CRO","0.057211","425684925"
"Basic Attenti...","BAT","0.316355","402136626"
"Dogecoin","DOGE","0.003161","379862303"
"USD Coin","USDC","1.0","366066330"
"OmiseGO","OMG","2.35","329900354"
"BitTorrent","BTT","0.001401","297153687"
"V Systems","VSYS","0.166168","290192181"
"Decred","DCR","28.83","288789457"
"Holo","HOT","0.001783","237536730"
"TrueUSD","TUSD","1.0","214680114"
"Lisk","LSK","1.8","212397070"
"Pundi X","NPXS","0.00089","211711457"
"Ravencoin","RVN","0.053921","209229575"
"Huobi Token","HT","4.1","205125991"
"Bitcoin Diamond","BCD","1.1","204991882"
"Egretia","EGT","0.047925","201586068"
"Aurora","AOA","0.030378","198743856"
"HedgeTrade","HEDG","0.649973","187448251"
"HyperCash","HC","4.3","187091110"
"Waves","WAVES","1.85","185143844"
"0x","ZRX","0.298615","178502828"
"Qubitica","QBIT","60.42","169689781"
"Augur","REP","15.38","169193749"
"Nano","NANO","1.23","164116425"
"BitShares","BTS","0.058054","158545703"
"MonaCoin","MONA","2.4","157832118"
"Bytecoin","BCN","0.000856","157498854"
"Komodo","KMD","1.35","155201999"
"Bytom","BTM","0.153626","154010422"
"Paxos Standar...","PAX","1.0","150483252"
"Zilliqa","ZIL","0.016872","146571220"
"IOST","IOST","0.012189","146438189"
"ICON","ICX","0.306483","145090991"
"KuCoin Shares","KCS","1.6","143169679"
"DigiByte","DGB","0.011948","143108775"
"ThoreCoin","THR","1611.16","139664656"
"Energi","NRG","7.41","131031857"
"Mixin","XIN","284.09","128451379"
"Siacoin","SC","0.003068","126694578"
"Metaverse ETP","ETP","1.77","126660231"
"GXChain","GXC","2.08","125005826"
"Aeternity","AE","0.45858","124795786"
"Verge","XVG","0.007858","124144774"
"ABBC Coin","ABBC","0.233785","118080292"
"Steem","STEEM","0.347563","111710275"
"Dent","DENT","0.001516","109647180"
"Ardor","ARDR","0.109707","109597351"
"VestChain","VEST","0.014724","104224074"
"Insight Chain","INB","0.29364","102745275"
"Enjin Coin","ENJ","0.128982","99532810"
"aelf","ELF","0.1984","98412161"
"MaidSafeCoin","MAID","0.217295","98337406"
"THETA","THETA","0.112823","98213010"
"Lambda","LAMB","0.19267","96335226"
"Crypto.com","MCO","6.05","95614228"
"Status","SNT","0.027008","93730029"
"Nash Exchange","NEX","2.5","90407013"
"EDUCare","EKT","0.126032","89641553"
"Zcoin","XZC","11.32","88631525"
"Golem","GNT","0.091663","88404776"
"Dai","DAI","0.972885","87524340"
"Stratis","STRAT","0.870375","86505608"
"SOLVE","SOLVE","0.242801","79423183"
"Quant","QNT","7.98","78019509"
"Maximine Coin","MXM","0.045316","74726885"
"WAX","WAX","0.078669","74171018"
"Nebulas","NAS","1.48","72189963"
"Elastos","ELA","4.43","69192009"
"Project Pai","PAI","0.046005","66693527"
"Revain","R","0.133127","64493399"
"Clipper Coin","CCCX","0.01705","64374703"
"Santiment Net...","SAN","1.02","63926241"
"Ren","REN","0.084193","62840244"
"NULS","NULS","0.838657","62246862"
"Grin","GRIN","4.22","60699246"
"Horizen","ZEN","8.86","60178475"
"NEXT","NET","1.18","59435323"
"ODEM","ODE","0.256696","59021718"
"Nexo","NEXO","0.104556","58551137"
"Waltonchain","WTC","1.39","57958752"
"Cryptonex","CNX","0.977505","54433653"
"ReddCoin","RDD","0.001869","53851813"
"QASH","QASH","0.149716","52400620"
"Ignis","IGNIS","0.06849","52131000"
"Loom Network","LOOM","0.065494","52034376"
"Ark","ARK","0.455067","51526593"
"Orbs","ORBS","0.031148","50929748"
"Factom","FCT","5.28","50902040"
"DigixDAO","DGD","25.39","50787887"
"Decentraland","MANA","0.047188","49553637"
"WaykiChain","WICC","0.259963","49132998"
"Loopring","LRC","0.054706","48947261"
"Celer Network","CELR","0.01688","48260322"
"Fantom","FTM","0.02536","45994540"
"Thunder Token","TT","0.015845","45979474"
"Matic Network","MATIC","0.021149","45948351"
"QuarkChain","QKC","0.021618","45693641"
"TrueChain","TRUE","0.573992","45675694"
"REPO","REPO","0.413543","45472564"
