"name","symbol","price","market cap"
"Bitcoin","BTC","10685.13","190103830595"
"Ethereum","ETH","289.71","30916842033"
"XRP","XRP","0.399677","17012881337"
"Litecoin","LTC","119.61","7471929626"
"Bitcoin Cash","BCH","398.13","7113808091"
"EOS","EOS","5.76","5306866294"
"Binance Coin","BNB","32.72","4619786802"
"Tether","USDT","0.993214","3575944652"
"Bitcoin SV","BSV","193.82","3460710227"
"Cardano","ADA","0.082134","2129502513"
"TRON","TRX","0.031767","2118319554"
"Stellar","XLM","0.104321","2025896919"
"UNUS SED LEO","LEO","1.76","1763474789"
"Monero","XMR","89.94","1535350659"
"Dash","DASH","155.31","1381209409"
"Chainlink","LINK","3.3","1155987724"
"NEO","NEO","16.21","1143363761"
"IOTA","MIOTA","0.396186","1101212212"
"Cosmos","ATOM","5.49","1046693439"
"Ethereum Classic","ETC","7.71","860122947"
"NEM","XEM","0.090428","813855557"
"Ontology","ONT","1.42","701807806"
"Zcash","ZEC","101.1","694920608"
"Maker","MKR","622.74","622738939"
"Tezos","XTZ","0.906672","599037996"
"Bitcoin Gold","BTG","25.93","454127432"
"Crypto.com Chain","CRO","0.060366","449164474"
"Qtum","QTUM","4.68","448736232"
"VeChain","VET","0.008051","446481760"
"Basic Attenti...","BAT","0.317611","403733649"
"Dogecoin","DOGE","0.003224","387428611"
"USD Coin","USDC","1.0","366345110"
"OmiseGO","OMG","2.4","336899458"
"Decred","DCR","30.17","302152086"
"BitTorrent","BTT","0.001424","302118489"
"V Systems","VSYS","0.166206","290239372"
"Holo","HOT","0.001853","246847884"
"Aurora","AOA","0.035039","229239264"
"TrueUSD","TUSD","1.0","214745173"
"Bitcoin Diamond","BCD","1.13","211121963"
"Lisk","LSK","1.77","208902409"
"Ravencoin","RVN","0.053806","208726767"
"Pundi X","NPXS","0.00087","206834248"
"Egretia","EGT","0.048424","203685630"
"Huobi Token","HT","4.06","202984627"
"HedgeTrade","HEDG","0.66801","192649862"
"Waves","WAVES","1.87","186821894"
"0x","ZRX","0.304693","182135965"
"HyperCash","HC","4.17","181530014"
"Qubitica","QBIT","61.03","171422546"
"Augur","REP","15.52","170740078"
"Nano","NANO","1.25","166429610"
"MonaCoin","MONA","2.49","163766777"
"Komodo","KMD","1.42","163236892"
"BitShares","BTS","0.058428","159566391"
