"name","symbol","price","market cap"
"Bitcoin","BTC","10281.9","182933874005"
"Ethereum","ETH","282.84","30185346866"
"XRP","XRP","0.395702","16843694395"
"Litecoin","LTC","116.13","7255282426"
"Bitcoin Cash","BCH","398.09","7113090783"
"EOS","EOS","5.64","5199052062"
"Binance Coin","BNB","32.12","4534269226"
"Tether","USDT","0.992428","3573315926"
"Bitcoin SV","BSV","189.0","3374572764"
"Cardano","ADA","0.081419","2110961073"
"TRON","TRX","0.031559","2104411107"
"Stellar","XLM","0.102505","1990633055"
"UNUS SED LEO","LEO","1.76","1754218351"
"Monero","XMR","84.88","1448950178"
"Dash","DASH","150.27","1336509665"
"Chainlink","LINK","3.44","1205077034"
"NEO","NEO","15.97","1126379241"
"IOTA","MIOTA","0.389146","1081643345"
"Cosmos","ATOM","5.24","998471665"
"Ethereum Classic","ETC","7.38","823805891"
"NEM","XEM","0.088268","794410586"
"Ontology","ONT","1.38","681709025"
"Zcash","ZEC","98.9","680002136"
"Maker","MKR","608.15","608148882"
"Tezos","XTZ","0.871348","575896940"
"Qtum","QTUM","4.65","445502026"
"Bitcoin Gold","BTG","25.39","444654189"
"VeChain","VET","0.007746","429547381"
"Crypto.com Chain","CRO","0.057222","425767081"
"Basic Attenti...","BAT","0.32819","417181346"
"Dogecoin","DOGE","0.003129","376000152"
"USD Coin","USDC","1.0","368072013"
"OmiseGO","OMG","2.33","327063837"
"BitTorrent","BTT","0.001383","293265188"
"V Systems","VSYS","0.164948","288071060"
"Decred","DCR","28.49","285423864"
"Holo","HOT","0.001901","253299387"
"TrueUSD","TUSD","1.0","214542675"
"Pundi X","NPXS","0.000889","211518277"
"Lisk","LSK","1.77","208691558"
"Ravencoin","RVN","0.053124","206166727"
"Huobi Token","HT","4.08","203974548"
"Bitcoin Diamond","BCD","1.08","200520515"
"Egretia","EGT","0.047119","198195924"
"Aurora","AOA","0.030193","197534260"
"HedgeTrade","HEDG","0.663008","191207483"
"HyperCash","HC","4.25","185049204"
"Waves","WAVES","1.82","182437258"
"0x","ZRX","0.293956","175717851"
"Nano","NANO","1.29","171544970"
"Qubitica","QBIT","59.92","168285190"
"Augur","REP","15.07","165801604"
"MonaCoin","MONA","2.39","157340804"
"Komodo","KMD","1.37","156721031"
"Bytecoin","BCN","0.000848","156134629"
"Bytom","BTM","0.151958","152337790"
"BitShares","BTS","0.055295","151010585"
"Paxos Standar...","PAX","0.999707","148328251"
"Zilliqa","ZIL","0.016942","147180824"
"IOST","IOST","0.01216","146089881"
"ICON","ICX","0.303371","143618071"
"KuCoin Shares","KCS","1.6","143147277"
"DigiByte","DGB","0.011633","139341002"
"ThoreCoin","THR","1578.52","136836031"
"Mixin","XIN","282.25","127617165"
"Energi","NRG","7.19","127151423"
"Metaverse ETP","ETP","1.77","126818290"
"Siacoin","SC","0.003063","126521447"
"GXChain","GXC","2.08","124614181"
"Aeternity","AE","0.455761","124034612"
"Verge","XVG","0.00762","120382473"
"ABBC Coin","ABBC","0.233169","117769227"
"Steem","STEEM","0.343862","110522234"
"Ardor","ARDR","0.107434","107326213"
"Dent","DENT","0.001434","103723849"
"Insight Chain","INB","0.294742","103131180"
"VestChain","VEST","0.014567","103112067"
"THETA","THETA","0.113841","99098831"
"Enjin Coin","ENJ","0.126461","97587200"
"aelf","ELF","0.196295","97367973"
"Lambda","LAMB","0.193999","96999612"
"MaidSafeCoin","MAID","0.214182","96928500"
"Crypto.com","MCO","5.95","94047068"
"Status","SNT","0.026649","92486130"
"Nash Exchange","NEX","2.47","89287518"
"EDUCare","EKT","0.125406","89197515"
"Golem","GNT","0.091671","88412359"
"Dai","DAI","0.972653","87538476"
"Zcoin","XZC","10.99","86046983"
"Stratis","STRAT","0.850509","84531278"
"SOLVE","SOLVE","0.241727","79071782"
"Quant","QNT","7.96","77786437"
"Maximine Coin","MXM","0.045561","75130840"
"WAX","WAX","0.078361","73880820"
"Elastos","ELA","4.62","72193276"
"Nebulas","NAS","1.48","71860161"
"Project Pai","PAI","0.046377","67234123"
"Revain","R","0.13334","64596415"
"Ren","REN","0.085763","64012501"
"Clipper Coin","CCCX","0.016904","63821864"
"Santiment Net...","SAN","1.01","63160191"
"NULS","NULS","0.849847","63078341"
"Grin","GRIN","4.23","60819224"
"Horizen","ZEN","8.75","59432441"
"NEXT","NET","1.17","58794206"
"ODEM","ODE","0.255466","58738951"
"Nexo","NEXO","0.103739","58093792"
"Waltonchain","WTC","1.37","57063492"
"Cryptonex","CNX","0.959754","53445154"
"QASH","QASH","0.150092","52532343"
"ReddCoin","RDD","0.001817","52340395"
"Ignis","IGNIS","0.067936","51709076"
"Ark","ARK","0.454968","51516100"
"Factom","FCT","5.29","51060320"
"Orbs","ORBS","0.031216","51041477"
"Loom Network","LOOM","0.063811","50697805"
"WaykiChain","WICC","0.263756","49849810"
"DigixDAO","DGD","24.83","49654731"
"Celer Network","CELR","0.017222","49237815"
"Decentraland","MANA","0.046651","48990275"
"Loopring","LRC","0.054256","48544365"
"Thunder Token","TT","0.016152","46872961"
"QuarkChain","QKC","0.021982","46462695"
"Matic Network","MATIC","0.021253","46174718"
"TrueChain","TRUE","0.568705","45255031"
"Buggyra Coin ...","BCZERO","0.022485","45213178"
"Fantom","FTM","0.024856","45079603"
"REPO","REPO","0.409059","44979510"
"Fusion","FSN","1.35","44890751"
"Harmony","ONE","0.018474","44133318"
"Bancor","BNT","0.69694","42727873"
"Electroneum","ETN","0.004391","42566813"
"Power Ledger","POWR","0.103557","42325009"
"Aion","AION","0.12795","41878682"
"LATOKEN","LA","0.109025","41440774"
"Kyber Network","KNC","0.24564","41399838"
"Enigma","ENG","0.553186","41398327"
"Beam","BEAM","1.65","41150546"
"Ether Zero","ETZ","0.243085","39673208"
"Japan Content...","JCT","0.132619","38877325"
"IPChain","IPC","0.488492","37969534"
"U Network","UUU","0.005574","37749679"
"Ecoreal Estate","ECOREAL","0.179787","37624738"
"HYCON","HYC","0.01935","37239830"
"TomoChain","TOMO","0.599388","37057565"
"MOAC","MOAC","0.586502","36634881"
"Bibox Token","BIX","0.334478","36601783"
"STASIS EURS","EURS","1.14","36552129"
"Wanchain","WAN","0.341976","36301592"
"RIF Token","RIF","0.080112","35886848"
"Theta Fuel","TFUEL","0.009327","35800404"
"Polymath","POLY","0.082702","35504033"
"PIVX","PIVX","0.606209","34421250"
"Arcblock","ABT","0.34129","33635602"
"Storj","STORJ","0.247258","33574515"
"XMax","XMX","0.001884","33005743"
